,video_id,phrase,path
0,5243,Brother,landmark_files/Brother/5243.parquet
1,5096,Brother,landmark_files/Brother/5096.parquet
2,5245,Brother,landmark_files/Brother/5245.parquet
3,3929,Brother,landmark_files/Brother/3929.parquet
4,3928,Brother,landmark_files/Brother/3928.parquet
5,4956,Brother,landmark_files/Brother/4956.parquet
6,5097,Brother,landmark_files/Brother/5097.parquet
7,4076,Brother,landmark_files/Brother/4076.parquet
8,3779,Brother,landmark_files/Brother/3779.parquet
9,3781,Brother,landmark_files/Brother/3781.parquet
10,5095,Brother,landmark_files/Brother/5095.parquet
11,5244,Brother,landmark_files/Brother/5244.parquet
12,4230,Brother,landmark_files/Brother/4230.parquet
13,4077,Brother,landmark_files/Brother/4077.parquet
14,4957,Brother,landmark_files/Brother/4957.parquet
15,4075,Brother,landmark_files/Brother/4075.parquet
16,4955,Brother,landmark_files/Brother/4955.parquet
17,3927,Brother,landmark_files/Brother/3927.parquet
18,3778,Brother,landmark_files/Brother/3778.parquet
19,3780,Brother,landmark_files/Brother/3780.parquet
20,5326,dry,landmark_files/dry/5326.parquet
21,9439,dry,landmark_files/dry/9439.parquet
22,5169,dry,landmark_files/dry/5169.parquet
23,9279,dry,landmark_files/dry/9279.parquet
24,5168,dry,landmark_files/dry/5168.parquet
25,9441,dry,landmark_files/dry/9441.parquet
26,5250,dry,landmark_files/dry/5250.parquet
27,9360,dry,landmark_files/dry/9360.parquet
28,9521,dry,landmark_files/dry/9521.parquet
29,5327,dry,landmark_files/dry/5327.parquet
30,9523,dry,landmark_files/dry/9523.parquet
31,9277,dry,landmark_files/dry/9277.parquet
32,5249,dry,landmark_files/dry/5249.parquet
33,9359,dry,landmark_files/dry/9359.parquet
34,9361,dry,landmark_files/dry/9361.parquet
35,9440,dry,landmark_files/dry/9440.parquet
36,5167,dry,landmark_files/dry/5167.parquet
37,5328,dry,landmark_files/dry/5328.parquet
38,9278,dry,landmark_files/dry/9278.parquet
39,9522,dry,landmark_files/dry/9522.parquet
40,5248,dry,landmark_files/dry/5248.parquet
41,9794,hard,landmark_files/hard/9794.parquet
42,9669,hard,landmark_files/hard/9669.parquet
43,9795,hard,landmark_files/hard/9795.parquet
44,9793,hard,landmark_files/hard/9793.parquet
45,9668,hard,landmark_files/hard/9668.parquet
